temp,light,acc_x1,acc_y1,acc_z1,acc_x2,acc_y2,acc_z2,acc_x3,acc_y3,acc_z3,acc_x4,acc_y4,acc_z4,acc_x5,acc_y5,acc_z5,acc_x6,acc_y6,acc_z6,acc_x7,acc_y7,acc_z7,acc_x8,acc_y8,acc_z8,acc_x9,acc_y9,acc_z9,acc_x10,acc_y10,acc_z10,acc_x11,acc_y11,acc_z11,acc_x12,acc_y12,acc_z12,acc_x13,acc_y13,acc_z13,acc_x14,acc_y14,acc_z14,acc_x15,acc_y15,acc_z15,acc_x16,acc_y16,acc_z16,acc_x17,acc_y17,acc_z17,acc_x18,acc_y18,acc_z18,acc_x19,acc_y19,acc_z19,acc_x20,acc_y20,acc_z20,acc_x21,acc_y21,acc_z21,acc_x22,acc_y22,acc_z22,acc_x23,acc_y23,acc_z23,acc_x24,acc_y24,acc_z24,acc_x25,acc_y25,acc_z25,acc_x26,acc_y26,acc_z26,acc_x27,acc_y27,acc_z27,acc_x28,acc_y28,acc_z28,acc_x29,acc_y29,acc_z29,acc_x30,acc_y30,acc_z30,acc_x31,acc_y31,acc_z31,acc_x32,acc_y32,acc_z32,acc_x33,acc_y33,acc_z33,acc_x34,acc_y34,acc_z34,acc_x35,acc_y35,acc_z35,acc_x36,acc_y36,acc_z36,acc_x37,acc_y37,acc_z37,acc_x38,acc_y38,acc_z38,acc_x39,acc_y39,acc_z39,acc_x40,acc_y40,acc_z40,acc_x41,acc_y41,acc_z41,acc_x42,acc_y42,acc_z42,acc_x43,acc_y43,acc_z43,acc_x44,acc_y44,acc_z44,acc_x45,acc_y45,acc_z45,acc_x46,acc_y46,acc_z46,acc_x47,acc_y47,acc_z47,acc_x48,acc_y48,acc_z48,acc_x49,acc_y49,acc_z49,acc_x50,acc_y50,acc_z50,acc_x51,acc_y51,acc_z51,acc_x52,acc_y52,acc_z52,acc_x53,acc_y53,acc_z53,acc_x54,acc_y54,acc_z54,acc_x55,acc_y55,acc_z55,acc_x56,acc_y56,acc_z56,acc_x57,acc_y57,acc_z57,acc_x58,acc_y58,acc_z58,acc_x59,acc_y59,acc_z59,acc_x60,acc_y60,acc_z60,acc_x61,acc_y61,acc_z61,acc_x62,acc_y62,acc_z62,acc_x63,acc_y63,acc_z63,acc_x64,acc_y64,acc_z64,acc_x65,acc_y65,acc_z65,acc_x66,acc_y66,acc_z66,acc_x67,acc_y67,acc_z67,acc_x68,acc_y68,acc_z68,acc_x69,acc_y69,acc_z69,acc_x70,acc_y70,acc_z70,acc_x71,acc_y71,acc_z71,acc_x72,acc_y72,acc_z72,acc_x73,acc_y73,acc_z73,acc_x74,acc_y74,acc_z74,acc_x75,acc_y75,acc_z75,acc_x76,acc_y76,acc_z76,acc_x77,acc_y77,acc_z77,acc_x78,acc_y78,acc_z78,acc_x79,acc_y79,acc_z79,acc_x80,acc_y80,acc_z80,acc_x81,acc_y81,acc_z81,acc_x82,acc_y82,acc_z82,acc_x83,acc_y83,acc_z83,acc_x84,acc_y84,acc_z84,acc_x85,acc_y85,acc_z85,acc_x86,acc_y86,acc_z86,acc_x87,acc_y87,acc_z87,acc_x88,acc_y88,acc_z88,acc_x89,acc_y89,acc_z89,acc_x90,acc_y90,acc_z90,acc_x91,acc_y91,acc_z91,acc_x92,acc_y92,acc_z92,acc_x93,acc_y93,acc_z93,acc_x94,acc_y94,acc_z94,acc_x95,acc_y95,acc_z95,acc_x96,acc_y96,acc_z96,acc_x97,acc_y97,acc_z97,acc_x98,acc_y98,acc_z98,acc_x99,acc_y99,acc_z99,acc_x100,acc_y100,acc_z100
35.35,34636.66,16,-37,201,18,-37,202,18,-37,204,18,-37,202,18,-37,204,17,-35,204,18,-38,205,17,-37,202,17,-37,201,16,-36,201,17,-38,203,18,-38,203,17,-38,203,17,-37,201,18,-37,204,18,-37,203,18,-38,201,18,-38,202,17,-36,202,17,-37,200,18,-39,202,29,-32,194,40,-57,206,7,-37,206,9,-45,202,8,-36,200,20,-39,200,15,-39,204,18,-41,201,20,-36,203,21,-42,202,17,-36,201,16,-37,199,17,-36,204,17,-34,203,17,-37,203,16,-36,204,17,-39,203,16,-37,203,17,-39,199,21,-40,202,18,-38,201,17,-38,199,18,-37,202,20,-38,202,17,-37,203,16,-36,199,17,-37,202,18,-36,203,19,-39,203,18,-37,203,20,-40,202,17,-39,203,17,-39,201,18,-39,200,18,-37,204,16,-35,201,17,-35,203,18,-37,203,18,-35,202,18,-37,202,16,-37,204,18,-39,203,17,-39,203,18,-39,205,16,-37,203,18,-38,201,17,-36,203,18,-37,203,19,-37,203,18,-37,201,18,-38,202,19,-39,202,17,-39,202,16,-39,202,17,-39,202,16,-39,205,16,-37,202,15,-36,202,18,-37,203,18,-37,202,17,-37,200,18,-38,202,17,-38,200,18,-38,202,19,-38,202,19,-38,200,18,-39,202,17,-37,201,18,-36,203,17,-36,201,18,-37,202,16,-35,201,17,-38,204,17,-38,201,17,-38,203,18,-38,200,18,-38,202,17,-37,205,17,-37,202
35.51,15.83,18,-38,203,18,-38,202,17,-37,201,17,-37,204,17,-38,201,16,-38,203,17,-37,204,16,-37,203,17,-39,202,18,-38,203,18,-38,201,18,-38,201,17,-37,202,18,-37,201,17,-38,201,18,-37,201,17,-38,203,17,-36,202,18,-39,201,18,-37,202,18,-38,202,16,-37,203,17,-38,202,17,-38,203,16,-38,202,17,-37,203,17,-36,203,18,-38,202,17,-36,202,16,-35,205,16,-37,202,18,-38,203,17,-36,202,17,-40,202,17,-38,201,18,-39,202,17,-39,200,17,-39,202,17,-37,203,17,-37,201,16,-36,203,18,-37,202,17,-38,203,17,-37,202,17,-39,202,18,-39,201,18,-37,201,18,-38,203,18,-39,202,18,-38,203,18,-37,202,17,-37,202,18,-37,202,17,-36,202,16,-37,201,18,-39,202,18,-39,202,17,-37,201,18,-38,201,17,-38,203,18,-36,201,18,-37,203,19,-37,203,18,-39,203,17,-37,202,17,-38,203,15,-37,201,17,-37,201,16,-39,203,18,-38,202,19,-39,202,17,-37,203,23,-40,202,14,-36,203,22,-38,204,17,-36,201,21,-36,203,18,-35,205,17,-38,202,17,-36,203,16,-40,202,16,-36,203,19,-40,203,19,-37,201,18,-40,201,19,-39,202,18,-37,200,18,-37,201,17,-35,202,17,-36,202,17,-35,203,17,-36,203,16,-37,202,16,-37,201,17,-38,202,18,-39,202,16,-37,202,20,-40,203,18,-38,202,17,-38,201
35.23,3909.17,17,-38,202,18,-38,203,16,-37,204,17,-36,203,17,-37,202,17,-36,200,20,-37,200,19,-37,201,18,-39,202,19,-39,204,17,-38,203,17,-40,201,17,-38,204,17,-38,203,17,-38,204,16,-37,201,16,-37,201,17,-37,202,19,-36,203,20,-38,201,18,-36,202,19,-38,201,18,-38,202,17,-40,203,16,-40,202,15,-39,201,16,-38,203,16,-37,203,16,-38,203,18,-38,203,17,-38,202,18,-37,203,18,-37,201,18,-39,200,17,-37,200,18,-38,202,17,-38,201,16,-38,201,18,-38,203,16,-38,202,17,-37,201,16,-38,202,18,-37,203,18,-39,202,18,-38,201,19,-39,202,18,-38,202,19,-39,201,17,-37,200,17,-36,204,16,-38,201,17,-37,204,16,-36,204,17,-38,203,16,-37,201,15,-36,203,16,-37,203,17,-38,203,20,-39,202,19,-39,202,17,-37,199,19,-38,200,18,-37,203,18,-37,204,17,-38,203,16,-37,202,16,-38,203,16,-37,203,17,-38,202,17,-38,202,16,-38,202,18,-39,202,16,-38,202,18,-38,203,18,-38,202,17,-37,201,18,-37,201,17,-37,202,17,-38,203,18,-38,203,16,-38,202,18,-38,202,18,-37,202,16,-36,203,17,-38,201,18,-37,203,18,-38,201,17,-36,202,17,-36,200,17,-36,200,16,-37,203,18,-39,204,17,-37,202,16,-38,201,6,-39,186,24,-41,217,4,-28,221,15,-49,204,4,-34,197,17,-39,198
35.85,34638.33,16,-35,205,20,-39,202,18,-38,200,18,-37,201,21,-41,201,20,-39,201,19,-41,202,19,-40,203,16,-37,202,17,-37,201,15,-34,201,18,-38,201,16,-34,203,17,-39,204,16,-36,203,18,-40,201,17,-40,203,18,-40,200,16,-38,200,18,-36,201,19,-38,202,17,-33,202,17,-37,202,17,-37,203,17,-38,202,18,-39,203,17,-39,202,17,-38,201,18,-38,202,17,-39,201,17,-37,201,17,-37,203,16,-35,203,18,-36,202,17,-37,203,16,-36,202,17,-36,200,19,-39,202,18,-40,202,16,-40,202,18,-38,200,19,-39,202,16,-37,201,17,-37,204,17,-36,203,18,-37,203,15,-34,201,17,-36,200,18,-39,202,17,-37,202,17,-39,202,18,-38,201,19,-40,200,18,-39,202,17,-37,202,17,-36,203,18,-36,203,17,-36,203,18,-37,202,16,-36,202,18,-38,202,17,-39,202,18,-39,201,17,-40,204,17,-38,201,18,-36,202,18,-37,202,16,-36,202,18,-37,203,17,-37,202,18,-37,203,18,-38,200,17,-39,202,18,-39,203,17,-38,200,17,-39,203,19,-38,202,17,-36,203,16,-35,203,19,-37,203,17,-37,203,17,-37,202,18,-39,202,17,-38,201,17,-39,202,16,-39,202,17,-38,201,18,-37,201,17,-36,203,17,-35,202,17,-36,202,17,-37,202,17,-37,202,17,-37,200,17,-38,203,16,-39,202,17,-38,200,17,-39,203,17,-36,203,18,-37,202
35.75,14.17,17,-39,203,17,-38,202,17,-37,201,16,-37,203,17,-36,203,18,-37,204,17,-38,201,19,-39,202,18,-40,202,17,-40,201,17,-38,201,17,-38,201,18,-39,202,17,-37,201,17,-37,203,18,-37,202,17,-38,202,17,-38,202,17,-39,203,22,-40,203,14,-38,201,19,-40,203,16,-37,200,19,-38,203,16,-36,203,18,-36,201,16,-34,204,16,-39,202,15,-35,203,20,-41,204,19,-38,205,18,-40,203,18,-39,203,19,-38,203,19,-39,202,16,-36,199,17,-35,203,17,-36,205,14,-34,202,15,-36,203,17,-37,203,17,-39,201,15,-39,201,17,-40,201,19,-40,204,19,-39,202,17,-40,202,16,-36,202,17,-35,202,17,-35,201,18,-37,201,17,-38,202,17,-38,203,16,-39,201,17,-41,202,18,-38,203,17,-38,201,18,-37,202,18,-37,201,17,-35,201,18,-37,201,18,-37,202,17,-38,201,17,-38,200,18,-39,201,17,-40,202,17,-39,200,17,-37,202,16,-37,202,17,-37,201,17,-35,202,18,-37,201,17,-36,202,18,-38,202,18,-38,204,18,-39,202,17,-38,200,17,-40,203,17,-39,202,16,-37,200,17,-38,202,17,-37,202,18,-37,203,17,-36,202,17,-37,201,18,-38,203,18,-38,201,16,-37,200,18,-38,201,18,-38,200,17,-37,204,16,-35,202,17,-37,201,17,-37,201,17,-36,203,17,-39,203,18,-41,202,17,-38,201,17,-39,202,17,-39,201
35.55,34702.5,17,-39,201,18,-38,201,18,-38,200,18,-37,203,18,-36,201,19,-37,202,18,-35,204,18,-37,201,16,-35,202,17,-37,201,16,-36,202,18,-37,203,16,-39,201,17,-39,202,18,-40,202,17,-37,202,17,-38,201,18,-38,201,19,-38,202,17,-36,203,18,-36,205,18,-36,204,16,-36,204,16,-37,203,15,-38,202,16,-38,201,15,-38,202,17,-38,202,17,-38,203,17,-37,204,18,-36,200,17,-36,201,17,-37,201,18,-37,201,19,-39,202,18,-39,202,17,-39,202,16,-39,201,16,-39,201,16,-39,202,17,-38,204,-1,-37,218,34,-52,170,7,-40,164,23,-44,210,16,-28,200,14,-44,200,16,-40,207,20,-39,202,20,-39,204,21,-38,202,16,-33,199,20,-36,203,16,-33,205,20,-37,201,17,-35,201,21,-41,202,15,-37,200,16,-40,200,16,-42,199,19,-41,202,18,-40,202,19,-37,203,18,-36,205,19,-36,204,14,-32,203,17,-36,200,17,-35,202,18,-39,201,17,-39,202,17,-41,201,18,-41,202,17,-39,199,17,-39,199,17,-36,202,18,-36,204,17,-34,204,15,-35,202,17,-35,204,16,-37,203,18,-39,201,18,-40,203,18,-41,203,18,-40,201,17,-40,203,16,-37,202,17,-36,204,16,-34,204,18,-37,203,17,-36,203,18,-36,202,17,-37,199,18,-40,201,18,-39,200,18,-40,200,16,-38,203,18,-39,204,17,-37,202,16,-36,203,16,-37,202
35.45,14.17,17,-37,202,18,-36,203,16,-36,203,16,-36,203,17,-37,202,16,-38,203,19,-38,202,18,-39,200,17,-39,201,17,-39,199,18,-38,199,18,-39,203,18,-37,204,16,-36,204,16,-36,203,17,-36,203,16,-38,205,17,-38,204,18,-40,202,18,-40,200,19,-40,201,18,-39,200,18,-38,200,17,-38,202,17,-36,203,17,-36,203,16,-35,202,17,-34,202,17,-37,202,16,-37,203,18,-40,202,17,-40,202,18,-39,201,16,-39,204,17,-37,202,18,-36,202,17,-36,205,17,-36,204,17,-36,201,17,-35,202,17,-38,202,17,-39,202,17,-39,203,18,-40,200,17,-38,201,17,-37,202,18,-37,203,18,-37,203,17,-35,203,17,-37,202,16,-37,202,17,-37,203,18,-40,203,22,-42,203,13,-38,201,21,-41,205,17,-36,202,22,-37,204,17,-35,204,20,-36,202,17,-34,206,16,-39,203,16,-35,201,20,-41,203,20,-40,202,19,-41,201,20,-41,201,18,-38,200,18,-37,202,17,-37,203,17,-37,202,18,-36,203,16,-34,203,16,-36,202,16,-35,203,17,-37,203,17,-39,203,17,-39,202,17,-39,203,16,-39,202,17,-38,203,16,-35,200,18,-37,201,17,-35,203,19,-37,200,18,-36,201,19,-38,201,16,-37,200,17,-39,201,17,-39,203,15,-39,201,17,-40,201,16,-38,201,17,-38,200,17,-36,200,16,-35,202,18,-36,201,18,-36,203,18,-39,203,17,-38,201
35.29,31853.33,19,-38,203,17,-37,201,18,-38,200,18,-37,201,17,-38,201,18,-39,203,17,-38,202,17,-38,203,18,-37,202,18,-37,204,17,-36,202,17,-37,201,18,-38,202,18,-38,201,17,-36,201,17,-39,202,18,-37,201,18,-38,204,17,-37,205,17,-37,205,16,-37,202,16,-36,202,17,-38,203,16,-37,202,16,-38,202,17,-38,201,17,-37,204,18,-38,203,18,-36,202,19,-36,203,18,-38,201,18,-38,200,17,-38,202,18,-39,202,18,-38,201,16,-37,203,17,-38,201,16,-38,201,16,-36,202,16,-36,202,17,-36,202,17,-37,202,17,-37,202,17,-39,202,17,-40,200,18,-40,202,17,-40,201,19,-39,202,17,-38,202,17,-38,204,16,-35,202,18,-36,202,16,-36,202,19,-37,202,17,-37,203,18,-40,201,16,-40,199,17,-39,202,18,-39,201,17,-37,203,18,-37,202,18,-37,201,17,-35,201,18,-37,200,18,-37,201,17,-37,202,19,-39,201,18,-38,201,17,-39,202,18,-39,203,18,-38,201,17,-36,201,17,-37,202,17,-37,203,18,-36,203,19,-39,202,19,-38,201,18,-38,201,18,-38,201,17,-38,201,19,-39,200,-2,-11,218,5,-30,225,9,-28,217,43,-30,218,19,-24,197,33,-33,213,23,-36,204,17,-38,201,22,-45,199,16,-38,204,19,-44,202,12,-34,200,16,-37,202,16,-33,202,21,-35,202,15,-34,203,19,-36,202,16,-36,202,16,-40,201
35.71,2340.83,17,-39,203,17,-39,205,16,-40,203,18,-42,202,14,-38,203,17,-40,200,18,-37,202,19,-36,203,19,-36,202,17,-35,202,20,-35,202,18,-35,201,17,-39,200,17,-39,201,18,-40,203,15,-40,201,16,-41,204,15,-37,201,18,-38,202,17,-36,203,17,-33,202,18,-35,202,18,-34,201,17,-36,200,18,-38,201,19,-38,203,18,-41,203,18,-42,201,18,-41,201,18,-39,202,17,-36,201,16,-35,200,18,-35,202,18,-35,203,17,-35,200,17,-37,199,18,-39,202,18,-39,202,18,-40,203,18,-39,204,17,-39,202,16,-37,204,17,-36,203,17,-36,202,16,-37,203,17,-38,203,18,-39,203,18,-39,203,18,-39,202,19,-40,200,19,-40,200,18,-39,201,17,-37,203,18,-37,204,16,-36,203,16,-35,203,17,-37,203,17,-36,203,17,-38,203,17,-37,202,17,-38,201,19,-39,200,17,-38,201,18,-38,201,17,-37,203,17,-36,202,17,-37,204,17,-38,201,17,-37,203,16,-38,203,17,-37,202,18,-39,202,18,-38,201,18,-39,201,19,-40,203,18,-38,202,17,-37,202,18,-37,201,17,-37,202,17,-36,203,17,-38,201,17,-38,201,16,-37,203,17,-38,200,18,-38,202,20,-41,203,17,-35,199,15,-41,199,14,-33,202,17,-40,205,15,-35,202,15,-37,202,17,-36,202,16,-36,202,17,-39,202,16,-36,203,20,-42,204,16,-39,203,17,-40,202,16,-38,202
35.55,237.5,16,-39,202,18,-41,204,18,-38,203,17,-36,201,19,-35,200,17,-35,201,18,-36,201,17,-35,202,18,-38,202,17,-36,202,16,-38,202,16,-39,201,18,-39,202,17,-38,202,18,-38,201,18,-38,201,17,-36,202,18,-36,202,15,-35,200,18,-37,202,18,-39,203,17,-38,202,16,-38,203,17,-40,203,17,-39,203,15,-38,202,17,-38,204,17,-37,202,16,-36,202,18,-36,201,18,-36,202,19,-36,201,19,-38,200,17,-39,200,17,-38,201,16,-38,203,16,-38,201,15,-37,203,16,-36,204,17,-36,202,16,-38,200,16,-36,202,18,-37,201,18,-36,201,19,-38,201,19,-39,203,19,-38,202,17,-38,203,17,-36,203,16,-38,203,16,-37,202,16,-37,203,16,-35,202,16,-37,202,17,-37,202,18,-38,201,19,-39,201,18,-39,201,18,-39,200,17,-38,202,17,-38,202,16,-36,203,16,-37,202,16,-37,202,16,-36,203,16,-37,201,16,-37,202,17,-39,200,17,-38,202,18,-38,200,17,-38,201,18,-38,201,18,-37,201,17,-36,203,17,-37,202,18,-36,203,17,-38,202,16,-37,201,16,-38,202,17,-37,200,18,-38,201,17,-38,200,16,-39,202,16,-37,202,19,-36,201,17,-36,202,16,-37,202,17,-38,202,17,-38,202,18,-40,201,19,-39,200,18,-38,203,19,-38,201,17,-37,204,17,-37,201,17,-37,201,17,-36,200,12,-38,195,34,-31,200,10,-30,184
35.91,34709.16,16,-35,203,15,-35,202,15,-38,203,15,-37,204,18,-41,204,18,-38,203,19,-39,200,22,-40,201,21,-37,202,18,-38,199,17,-35,201,17,-36,203,16,-35,205,15,-36,204,18,-37,203,16,-37,201,18,-41,202,15,-38,201,18,-41,202,17,-39,203,15,-39,202,17,-36,202,18,-37,203,18,-35,204,18,-35,199,19,-38,202,19,-37,203,17,-38,200,17,-39,201,17,-40,203,17,-39,203,16,-37,202,16,-34,204,18,-37,202,16,-34,202,18,-37,202,17,-37,202,18,-39,202,18,-39,201,18,-40,201,19,-39,202,17,-39,201,16,-37,204,17,-38,203,15,-35,204,17,-36,204,16,-36,202,18,-36,202,17,-37,202,18,-38,202,17,-38,202,17,-40,201,18,-39,201,18,-39,201,18,-38,202,16,-38,203,17,-37,203,16,-36,204,18,-37,205,16,-36,204,17,-37,202,19,-38,202,17,-38,202,18,-38,202,17,-38,202,18,-39,203,18,-38,204,16,-37,204,18,-37,201,16,-36,202,18,-37,203,18,-38,202,18,-38,202,18,-38,201,17,-40,200,16,-37,202,19,-38,200,16,-38,201,17,-38,201,16,-38,203,15,-37,203,16,-35,202,17,-37,201,16,-37,203,17,-37,202,17,-38,201,18,-39,201,17,-38,201,18,-38,202,18,-37,203,18,-37,202,16,-37,203,17,-37,203,18,-38,202,18,-39,202,19,-38,202,18,-39,203,18,-39,201,18,-37,202,16,-36,202
35.63,14.17,18,-38,201,17,-37,200,18,-37,203,18,-38,203,17,-36,203,17,-35,202,16,-37,203,17,-37,201,16,-37,201,18,-40,203,18,-38,203,17,-38,200,17,-38,202,18,-39,202,17,-37,200,16,-39,201,22,-37,202,15,-37,200,22,-39,207,17,-37,199,24,-38,204,17,-36,206,19,-39,201,16,-36,205,17,-39,203,15,-35,203,18,-41,201,17,-37,202,18,-38,202,18,-38,202,19,-38,201,17,-37,202,16,-37,203,17,-36,204,15,-35,204,15,-36,202,16,-36,203,17,-37,202,17,-37,205,17,-39,202,19,-40,204,18,-38,203,19,-39,205,18,-37,201,18,-38,201,17,-36,202,18,-36,201,17,-36,201,18,-38,203,17,-38,202,17,-40,202,17,-38,203,17,-40,204,18,-39,204,18,-38,205,19,-39,202,18,-36,201,18,-37,202,18,-36,200,19,-38,202,18,-39,201,17,-38,201,17,-39,201,17,-39,203,16,-38,203,16,-36,204,18,-38,203,15,-35,202,16,-36,201,18,-36,204,18,-36,202,18,-36,201,18,-39,200,18,-38,201,16,-38,201,18,-40,202,16,-39,202,17,-38,202,16,-36,202,17,-37,205,17,-37,202,19,-39,202,17,-36,203,18,-38,202,20,-39,201,17,-39,202,18,-37,205,19,-38,202,17,-36,201,17,-38,201,16,-38,203,17,-38,204,17,-39,202,15,-38,203,17,-39,202,18,-39,201,20,-39,201,18,-38,200,17,-37,201,19,-37,203
35.51,34763.33,17,-37,200,18,-39,201,18,-37,201,18,-38,201,18,-36,203,17,-38,204,17,-38,203,17,-38,203,18,-38,204,16,-38,201,18,-38,201,18,-38,202,17,-38,201,18,-38,201,18,-37,202,18,-37,202,18,-38,202,18,-38,202,18,-38,202,17,-39,201,17,-38,203,16,-37,202,15,-36,202,16,-38,202,16,-38,201,16,-37,202,17,-37,203,16,-36,202,17,-38,203,17,-38,202,17,-39,202,17,-38,202,17,-39,202,17,-38,203,18,-38,203,17,-37,202,18,-37,201,18,-37,201,19,-38,202,18,-38,201,18,-36,204,17,-38,203,17,-36,203,17,-37,201,17,-36,203,-5,-53,217,30,-42,210,-14,-32,201,19,-43,198,10,-30,186,23,-42,197,15,-38,207,15,-41,201,22,-37,202,19,-36,204,23,-38,200,16,-34,200,20,-38,205,18,-33,205,20,-37,204,15,-34,202,20,-40,204,15,-38,202,16,-40,199,16,-39,201,21,-41,203,17,-39,202,19,-38,202,16,-35,202,20,-38,202,16,-34,199,17,-37,201,17,-36,201,16,-38,202,15,-38,203,18,-40,202,19,-38,202,19,-39,201,18,-37,203,18,-37,202,18,-37,202,18,-36,202,18,-37,201,17,-36,204,18,-38,202,18,-37,202,18,-37,204,18,-40,202,15,-38,200,16,-38,202,17,-37,203,17,-37,204,17,-37,203,17,-38,203,19,-37,203,19,-39,203,17,-38,200,20,-40,202,19,-38,202,18,-39,203
35.63,14.17,17,-37,201,17,-38,203,18,-37,201,17,-37,201,16,-37,202,18,-38,204,17,-38,204,17,-36,203,16,-36,203,17,-37,201,17,-37,200,17,-37,201,17,-38,198,18,-39,203,18,-37,202,17,-38,203,17,-38,202,16,-37,203,17,-37,203,16,-37,203,17,-37,203,16,-37,200,16,-38,201,18,-39,203,18,-39,203,17,-38,203,18,-38,202,16,-37,203,19,-38,203,17,-35,204,17,-39,202,17,-37,203,18,-39,201,18,-39,201,18,-38,203,18,-38,201,17,-38,203,19,-38,201,16,-36,201,17,-37,203,17,-36,203,17,-38,200,18,-38,202,18,-38,202,18,-38,200,18,-38,203,19,-39,202,17,-38,202,16,-39,201,17,-37,202,18,-37,201,17,-37,203,17,-36,203,15,-39,205,18,-36,199,12,-39,199,13,-35,203,15,-41,202,15,-37,204,13,-38,199,17,-39,201,15,-34,202,18,-39,200,17,-35,200,20,-39,202,16,-37,202,18,-40,201,17,-39,203,17,-39,201,17,-38,201,17,-37,202,18,-35,201,18,-37,203,17,-36,201,17,-36,201,17,-38,204,17,-39,202,17,-38,202,17,-39,203,18,-40,202,18,-39,202,16,-38,203,18,-37,202,18,-36,202,17,-35,201,19,-37,204,19,-36,203,17,-38,203,16,-39,201,18,-38,202,17,-38,203,16,-39,201,17,-39,202,17,-38,203,19,-36,200,17,-36,201,18,-36,203,18,-36,204,17,-36,201,17,-37,202
35.59,14.17,18,-36,203,18,-36,201,17,-37,201,18,-37,201,19,-40,201,18,-41,202,18,-39,201,17,-39,202,15,-37,202,18,-36,202,18,-35,204,16,-36,206,17,-37,204,16,-36,201,16,-38,202,17,-39,201,18,-39,202,17,-39,202,17,-37,202,17,-36,203,19,-36,204,13,-33,202,20,-39,204,16,-35,200,18,-39,204,17,-38,203,20,-40,201,18,-38,201,18,-40,203,18,-36,201,18,-36,203,16,-35,203,15,-36,203,16,-36,201,16,-35,203,17,-38,201,17,-38,203,18,-38,202,17,-39,202,17,-38,200,17,-38,202,19,-36,202,18,-37,203,17,-36,201,18,-37,203,18,-37,202,16,-38,201,17,-38,203,17,-38,202,18,-40,202,17,-38,203,17,-39,202,17,-37,202,18,-37,201,19,-38,202,17,-36,201,18,-37,202,17,-37,202,16,-38,202,16,-37,202,17,-38,199,17,-38,202,17,-39,203,17,-38,202,18,-37,202,17,-37,203,18,-36,202,18,-38,202,18,-38,204,16,-37,201,17,-38,201,17,-37,202,17,-39,201,17,-37,203,17,-38,203,17,-37,201,17,-37,202,17,-37,203,18,-38,202,17,-37,203,18,-37,199,16,-38,202,16,-38,201,18,-38,202,18,-38,201,18,-37,201,16,-38,203,18,-38,202,18,-37,200,18,-39,202,17,-38,202,20,-38,203,17,-37,202,19,-37,201,18,-37,201,17,-37,201,18,-38,201,17,-37,202,17,-38,203,18,-39,204
36.05,34733.33,17,-37,200,10,-29,172,30,-15,205,9,-45,221,20,-48,211,9,-34,200,18,-38,205,14,-40,201,17,-41,200,22,-39,202,22,-40,203,18,-36,200,16,-37,200,20,-35,201,16,-34,202,15,-35,204,18,-38,205,17,-38,201,16,-38,200,20,-41,201,20,-41,200,18,-41,201,19,-38,203,18,-36,204,17,-35,202,14,-33,202,17,-36,201,16,-34,202,18,-38,203,16,-37,203,18,-42,202,17,-39,203,17,-42,201,15,-37,202,17,-38,203,19,-37,202,19,-34,199,19,-35,200,18,-34,201,17,-35,201,15,-36,201,17,-39,203,17,-42,203,15,-41,203,17,-41,202,17,-38,201,17,-38,203,16,-34,203,18,-33,200,19,-35,202,18,-35,200,18,-36,199,18,-39,200,17,-39,202,16,-40,202,17,-42,202,17,-39,203,15,-37,205,15,-37,202,16,-35,203,18,-34,202,18,-35,200,19,-36,200,18,-38,200,19,-38,201,17,-40,202,17,-40,202,16,-39,202,18,-38,203,17,-36,203,17,-36,204,15,-35,201,17,-36,200,17,-38,201,19,-39,202,19,-39,199,20,-41,198,18,-38,200,18,-38,201,18,-38,202,17,-37,202,16,-36,201,17,-36,204,15,-35,204,15,-36,203,17,-38,201,18,-39,204,17,-40,200,17,-38,199,20,-40,201,18,-37,201,19,-38,200,17,-37,203,18,-37,202,17,-37,202,17,-37,203,16,-38,203,18,-39,202,17,-38,202,17,-38,201
32.71,29581.67,14,-39,205,15,-38,203,15,-37,205,15,-36,205,18,-37,203,18,-35,200,19,-36,198,20,-37,200,19,-39,199,18,-38,199,17,-39,203,15,-38,201,15,-39,206,14,-36,205,15,-36,206,15,-36,203,16,-37,203,17,-37,203,21,-38,200,19,-36,201,19,-37,200,18,-37,199,21,-36,200,17,-37,202,15,-37,203,16,-37,203,16,-38,203,17,-39,203,16,-40,202,17,-38,203,19,-40,202,17,-38,201,20,-37,199,20,-36,200,17,-35,201,14,-35,201,16,-37,204,16,-37,204,14,-38,205,15,-39,204,16,-38,204,17,-37,203,18,-38,203,18,-38,202,20,-36,201,19,-38,201,17,-35,200,18,-37,201,19,-37,202,17,-40,202,14,-39,202,17,-41,204,15,-39,203,15,-38,203,16,-38,205,18,-37,202,19,-36,202,18,-35,202,17,-36,200,18,-35,200,18,-37,202,17,-38,202,17,-38,202,16,-38,203,16,-40,205,16,-39,202,16,-38,202,18,-37,202,17,-38,204,19,-38,202,20,-38,202,18,-37,199,19,-35,201,18,-37,202,18,-36,203,16,-38,202,18,-40,203,16,-39,203,19,-39,201,15,-36,200,15,-38,203,17,-37,201,18,-38,201,19,-36,200,18,-37,201,18,-36,202,19,-37,202,18,-38,200,18,-37,201,17,-37,204,15,-37,203,16,-38,205,16,-38,203,17,-36,203,17,-38,202,16,-36,202,18,-37,200,19,-37,200,20,-38,200,18,-37,201
